site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
NID,06/04/2019 08:49,4.3521,-0.065083,-0.15749,4.7305,0.10296,0.58583,0.88376
NID,06/07/2019 08:57,-0.2,0.079548,0.10926,4.3772,2.5642,1.0583,2.698
NID,06/12/2019 09:10,NA,NA,NA,NA,NA,NA,NA
NID,06/13/19 08:07,3.0539,1.348,0.5556,3.2086,0.60063,0.071132,4.1999
NID,06/19/19 08:21,-0.16329,2.8369,1.7929,2.4436,0.24249,-0.2,7.0892
NID,06/23/19 07:41,1.4663,1.2194,0.9179,2.3744,2.1768,0.74589,3.129
NID,06/26/19 07:13,0.015082,1.2019,0.43894,2.2733,-0.10792,-0.047203,0.6383
NID,06/29/19 08:49,0.39415,1.6713,0.2973,0.31466,1.0169,0.58309,1.2729
NID,07/03/2019 08:45,NA,NA,NA,NA,NA,NA,NA
NID,07/10/2019 09:16,0.97354,1.8392,0.94577,1.8555,-0.2,2.7467,2.619
NID,07/12/2019 08:34,2.3864,0.3552,0.014246,4.8982,1.4215,2.01,4.9812
NID,07/14/19 06:33,-0.089628,1.9472,0.35267,0.43586,0.98408,2.6144,2.778
NID,07/15/19 06:50,NA,NA,NA,NA,NA,NA,NA
NID,07/23/19 11:17,1.3058,1.5004,1.2896,2.0322,-0.2,1.3889,3.7118
