site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
NID,2018-11-14T09:58:00Z,0.026183,1.0453,0.98639,2.6415,1.7228,1.5846,1.956
NID,2018-11-16T09:26:00Z,0.089282,1.4217,0.95805,-0.098405,0.26831,0.18618,1.2822
NID,2018-11-21T09:36:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-11-24T10:02:00Z,0.20152,0.4049,0.28439,-0.2,0.14092,0.46324,1.5917
NID,2018-11-26T10:00:00Z,3.3179,-0.086843,1.6334,1.5327,1.402,1.7711,0.53226
NID,2018-12-03T09:50:00Z,1.3337,1.2007,2.9547,0.15049,1.6997,1.5448,-0.2
NID,2018-12-04T10:10:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-12-10T11:12:00Z,0.038532,1.275,4.8588,0.7162,0.72222,0.67314,1.6472
NID,2018-12-12T09:50:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-12-18T15:28:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2018-12-26T08:43:00Z,-0.004458,1.3051,0.77274,0.0014357,0.11507,0.13321,0.22049
NID,2018-12-28T09:05:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2019-01-01T09:15:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2019-01-10T17:21:00Z,1.5514,0.062397,0.65285,2.0934,1.4425,0.022201,1.4639
NID,2019-01-21T10:26:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2019-01-25T09:05:00Z,0.49242,0.27351,0.87163,1.2924,0.5389,0.19947,0.42781
NID,2019-01-26T09:15:00Z,0.10812,0.68664,0.67633,0.31581,1.3992,0.4372,0.35156
NID,2019-02-15T11:29:00Z,0.99437,0.56257,0.0065121,0.64486,1.7471,1.3056,0.19127
NID,2019-02-17T10:35:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2019-02-19T10:50:00Z,0.3839,0.55196,0.27358,1.0137,0.72183,0.18748,0.50518
NID,2019-02-23T09:47:00Z,0.62052,-0.11292,0.56397,1.072,0.025028,0.25069,1.7998
NID,2019-02-27T07:31:00Z,1.4111,0.13517,-0.15874,1.3248,-0.2,-0.031159,0.1751
NID,2019-03-05T09:32:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2019-03-09T08:10:00Z,0.0078226,0.79256,0.20279,0.1902,1.9736,0.41577,0.5806
NID,2019-03-13T07:31:00Z,NA,NA,NA,NA,NA,NA,NA
NID,2019-03-16T07:52:00Z,0.34458,1.4511,-0.2,0.5414,1.8008,3.1837,0.50743
NID,2019-03-20T09:18:00Z,2.2969,-0.2,1.9307,2.1388,1.7404,1.6874,0.29937
NID,2019-03-24T08:37:00Z,0.98573,1.784,0.79007,-0.11254,0.74564,2.4369,1.0199
NID,2019-03-27T09:05:00Z,0.18012,0.51705,0.6431,2.5,2.5823,0.073507,0.75307
NID,2019-03-31T09:16:00Z,0.30645,0.28206,0.3068,0.95721,0.52888,0.42591,0.39849
NID,2019-04-02T09:55:00Z,-0.024839,1.9349,0.59944,0.30763,-0.2,0.13928,1.11
NID,2019-04-08T09:32:00Z,2.9703,0.19755,-0.2,4.0371,0.0038846,0.71607,0.35821
NID,2019-04-10T10:25:00Z,0.65088,0.52327,-0.092265,0.41566,1.3317,3.7181,0.33086
